ཨ་ཧྥེ་རི་ཁ།	非洲
༨༡ (གྲངས་ཀ།)	81
༦༦ (གྲངས་ཀ།)	66
༦༣ (གྲངས་ཀ།)	63
༥༢ (གྲངས་ཀ།)	52
༦༩ (གྲངས་ཀ།)	69
༧༣ (གྲངས་ཀ།)	73
༥༧ (གྲངས་ཀ།)	57
༧༤ (གྲངས་ཀ།)	74
༧༩ (གྲངས་ཀ།)	79
༦༧ (གྲངས་ཀ།)	67
༧༧ (གྲངས་ཀ།)	77
༨༣ (གྲངས་ཀ།)	83
༨༢ (གྲངས་ཀ།)	82
༨༦ (གྲངས་ཀ།)	86
༧༨ (གྲངས་ཀ།)	78
༩༨ (གྲངས་ཀ།)	98
ཝང་ཧྲེ་མིན།	王时敏
ལི་ཁུའེ།	李悝
ཝང་ཡིས་རོང་།	王懿荣
ཡུས་ཧྲན་རི་བོ།	玉山山脈
ཀའོ་ཆིའུ།	高俅
ཉི་ཟླ་མཚོ་མོ།	日月潭
སུང་ཡིང་ཞིང་།	宋应星
ཝང་ཧུའེ།	王翬
ཏིང་ཧྲི་ཁྲང་།	邓世昌
རི་བོ་པོ་ཏ་ལ།	普陀山
སུང་ཅང་།	宋江
ལི་ཁྲེང་།	李成
ལིའི་ཀུང་ལིན།	李公麟
ཨ་ལེ་ཧྲན་རི་བོ།	阿里山山脈
ལིའུ་ཀུང་ཆོན།	柳公權
སྤྲེའུ་ས་ལག	長尾葉猴屬
སྡུག་བསྔལ་བརྒྱད།	苦 (佛教)
བརྒྱངས་དཀྲོལ།	古筝
པི་ཝང་།	二胡
ར་རྒོད།	喜瑪拉雅塔爾羊
ཤྭ་བ་མཆུ་དཀར།	白唇鹿
རྩི་རང་གི་ས་ཁོངས།	奇朗宗
དབང་འདུས་ཕོ་བྲང་གི་ས་ཁོངས།	旺杜波德朗宗
གསར་སྦང་གི་ས་ཁོངས།	盖莱普宗
སྟེང་ཆེན་རྫོང་།	丁青县
ཀུའོ་ཧྲོའུ་ཅིང་།	郭守敬
བཙུན་པ།	出家人
ཧྲེ་མི།	畲族
ཇོ་ཁང་།	大昭寺
ཉི་ཧུང་གི་ནང་ཆོས།	日本佛教
ཨཱ་སམ་སྤྲེལ།	熊猴
༄༅།། ཏིན་ཏིན་གྱི་དཔའ་རྩལ།	丁丁歷險記
ས་དགའ་རྫོང་།	萨嘎县
སྣ་དཀར་རྩེ་རྫོང་།	浪卡子县
འཕགས་མ་སྒྲོལ་མ་ལ་བསྟོད་པ།	多羅菩薩
ཀརྨ་པ་	噶玛巴
ཏུང་ཞང་མི།	东乡族
ལ་ཧུའུ་མི།	拉祜族
ཤེར་ཕྱིན།	般若经
ལུས་འབྲེལ་གྱི་ཕོག་ཐུག་བཟོ་བ།	性骚扰
ཨ་ཝེ་རོང་གཙང་པོ།	阿韋龍河
བྱིའུ་སེར།	北美黃林鶯
མི་འཁྲུགས་པ།	阿閦佛
རྒྱ་ནག་གི་སྒྱུ་རྩལ།	中国美术史
ཡན་ཀྲེན་ཆིན།	颜真卿
མཚོ་གཉིས་དོན་གཅོད་ཁྲུའུ།	双湖县
ཤིབ་རཱ།	施弗拉
འདམ་གཞུང་རྫོང་།	当雄县
༦༡ (གྲངས་ཀ།)	61
ལྷོ་ཁ་ས་ཁུལ།	山南地区
ཆབ་མདོ་རྫོང་།	卡若区
པ་སྣམ་རྫོང་།	白朗县
ལྡུམ་སྒོང་ཁུ་བ།	番茄汁
སོང་ཁ་ལ།	宋卡
དཔལ་མགོན་རྫོང་།	班戈县
དཔལ་འབར་རྫོང་།	边坝县
འབར་ཁམས་	马尔康县
དཔའ་ཤོད་རྫོང་།	八宿县
ཧྲིན་ཐོ།	神道
༤༢ (གྲངས་ཀ།)	42
བོན།	苯教
ཨུ་ཌོན་ཐ་ནི།	乌隆他尼
པའོ་ཨན་མི།	保安族
སེན་ཏེ་ཨ་ཧྥེ་རི་ཁེ།	圣阿夫里屈埃 (阿韦龙省)
སྤྱི་ལེ།	千米
ཁྲི་པི་གཡུལ་འགྱེད།	赤壁之戰
ཧ་ཝ།	夏娃
དུས་འཁོར།	十相自在
གཡོག་མོ།	女傭
ཨ་ལའེ་ཞི་ཡ།	阿萊西亞
ཏའེ་མི།	傣族
མོན་པ།	门巴族
སུ་ར་ཊི་ཐ་ནི།	素叻他尼
ཆའང་མི།	羌族
གེ་སར་རྒྱལ་པོ།	格萨尔王传
མགར་སྟོང་བཙན་ཡུལ་སྲུང༌།	禄东赞
དབའ་མི།	佤族
པུ་ཁེཊ་གྲོང་ཁྱེར​།	普吉市
ཁེ་ནཱན་ནི་ཨེ་ནོ་ཟི་ཞེས་བྱ་བའི་བུ།	该南
མེ་རི་ན་མི།	梅里納人
Wylie	威利转写
ཡོ་གའི་སྒོམ་སྒྲུབ་ཉམས་ལེན་སློབ་གྲྭ།	瑜伽行唯識學派
རྒྱ་ནག་གི་ནང་ཆོས།	汉传佛教
རྙིང་མ་པ།	宁玛派
རྫོགས་ཆེན།	大圆满
ཨ་ཁྲང་མི།	阿昌族
སྐུ་སྲུང་།	保鏢
གད། (གསུང་རབ།)	迦得
ཧོར་མི།	土族
རྒོ་བ།	藏原羚
སྤྲེའུ་ཨཱ་ཧ།	藏酋猴
མཐོ་དམན་གདང་།	高低杠
སྨན་བླ།	藥師佛
ཧྲའོ་ལིན་དྲག་རྩལ།	少林功夫
རིན་ཆེན་འབྱུང་གནས།	寶生佛
ཆེང་རཱེ།	清萊
ཧྲུའེ་མི།	水族
ཀོ་ལའོ་མི།	仡佬族
ཅིང་ཕོ་མི།	景颇族
ལྷོ་པ།	珞巴族
ལི་སུའུ་མི།	傈僳族
འབྲི་རུ་རྫོང་།	比如县
ཕི་ཊི་ཙ་ནུ་ལོཀ།	彭世洛
མའོ་ནན་མི།	毛南族
ནུའུ་མི།	怒族
མུའུ་ལའོ་མི།	仫佬族
ཀུན་ཏུ་བཟང་པོ།	普贤菩萨
པེ་ཅིང་རྒྱུད་གཉིས།	京胡
མཚོ་ནུབ་སོག་རིགས་དང་བོད་རིགས་རང་སྐྱོང་ཁུལ་	海西蒙古族藏族自治州
ཉག་ཆུ་	雅砻江
གླང་ཆེན་དཀར་པོ།	大白象
ཕྱེ་ལེབ་རོལ་ཆས།	揚琴
ཕུ་འུ་སྨི་མི།	普米族
བཀྲ་ཤིས་ལྷུན་པོ་དགོན།	扎什伦布寺
ལྷ་མོ་སྒྱུ་འཕྲུལ་མ།	摩耶夫人
ཏེ་ཨང་མི།	德昂族
པུའུ་ལང་མི།	布朗族
བཙན་པོ་རིམ་བྱོན་གྱི་མཚན་བྱང་།	吐蕃國王列表
ཐོ་ཐོ་རི་གཉན་བཙན།	佗土度
འདྲེ་ཚེར་མ།	枸杞属
སྤོ་མེས་རྫོང་།	波密县
༥༡ (གྲངས་ཀ།)	51
རིན་པོ་ཆེ།	仁波切
རྒྱ་རྒོ་ར།	红斑羚
མ་ཧཱ་གཱ་ལ།	大黑天
མཚུར་བུ་དགོན།	楚布寺
ཡཱ་རིད། (གསུང་རབ།)	雅列
དགའ་ལྡན་དགོན།	甘丹寺
རྒྱལ་པོ་དང་བྱིའུ།	国王与小鸟
ཟླ་ཆུ་བདག་གཉེར་ལྷན་ཚོགས།	湄公河委员会
ཨི་ཏ་ལི་གྱི་སྒྱུ་རྩལ།	義大利藝術
རྒྱལ་རྩེ་རྫོང་།	江孜县
ཁང་དམར་རྫོང་།	康马县
ལུའུ་ཡུས།	陸羽
དབུགས་མདོང་སྒྲོམ་གཞི།	汽缸本體
དམག་འཐབ་གྲུ་གཟིངས།	海战 (游戏)
སྤྱི་འཁོར་སྒུག་ཁང་།	巴士站
སྨན་གླིང་རྫོང་།	米林县
ཐའོ་ཧུང་ཅིན།	陶弘景
ས་ཀྱ་པཎ་ཌི་ཏ།	萨迦·班智达
མ་སྐྱེས་དགྲ།	堅戰
ཇ་སྲུབ་མ།	酥油茶
བོད་རྒྱལ་ཁབ་ཆེན་པོའི་རྒྱལ་གླུ།	西藏国歌
སྤང་།	草原
སྤུ་ཧྲེང་རྫོང་།	普兰县
ཆབ་མདོ་ས་ཁུལ།	昌都市
ན་ཁཱོན་སི་ཐམ་མ་ར་ཊི།	那空是贪玛叻
མཚོ་ལྷོ་བོད་རིགས་རང་སྐྱོང་ཁུལ།	海南藏族自治州
སྟོད་ལུང་བདེ་ཆེན་རྫོང༌།	堆龙德庆县
ན་ཁཱོན་ས་ཝན།	北欖坡
ར་ནོང་།	拉廊
ལ་ཇུན་ཏ།	拉洪塔 (科罗拉多州)
རྔ་བ་བོད་རིགས་ཆ་བ༹ང་རིགས་རང་སྐྱོང་ཁུལ་	阿坝藏族羌族自治州
ཨཱལ་པེ་ན། (མི་ཅི་གྷན།)	阿尔皮纳 (密歇根州)
ནག་ཆུ་ས་ཁུལ།	那曲地区
དཀར་ལྷོ་བོད་རིགས་རང་སྐྱོང་ཁུལ་	甘南藏族自治州
ཉིང་ཁྲི་ས་ཁུལ	林芝地区
སྟག་རྩེ་རྫོང་།	达孜县
ཅཱན་ཐ་བུ་རི།	庄他武里
མ་ད་ནཱ་པལ་ལི།	马达纳帕尔莱
མུཀ་ད་ཧཱན།	莫拉限市
ཧུའུ་པེའི་སློབ་ཆེན།	湖北大学
གཏེར་ལེན་ཁ་	德令哈市
ཡུལ་ཤུལ་རྫོང།	玉树市
རི་བོ་ཆེ་རྫོང་།	类乌齐县
སོག་རྫོང་།	索县
ཁྲིན་ཀོན་ཆུས།	城关区 (拉萨市)
དིང་རི་རྫོང་།	定日县
ལྷ་རི་རྫོང་།	嘉黎县
ཤན་རྩ་རྫོང་།	申扎县
རྨ་ཆེན་རྫོང་།	玛沁县
འཇོ་མདའ་རྫོང་།	江达县
ནག་ཆུ་རྫོང་།	那曲县
ལྷོ་རོང་རྫོང་།	洛隆县
ངམ་རིང་རྫོང་།	昂仁县
གཉན་རོང་རྫོང་།	聂荣县
སྦྲ་ཆེན་རྫོང་།	巴青县
ཉི་མ་རྫོང་།	尼玛县
གོ་འཇོ་རྫོང་།	贡觉县
གམ་པ་རྫོང་།	岗巴县
རྣམ་གླིང་རྫོང་།	南木林县
སྒར་རྫོང་།	噶尔县
སྐ་ཁོག	夏河县
ཀོང་པོ་རྒྱ་མདའ་རྫོང་།	工布江达县
རུ་ཐོག་རྫོང་།	日土县
གཉའ་ལམ་རྫོང་།	聂拉木县
གྲོ་མོ་རྫོང༌།	亚东县
མེ་ཏོག་རྫོང་།	墨脱县
སྙེ་ཐང་སྒྲོལ་མ་ལྷ་ཁང་།	聂塘卓玛拉康
སྟག་རི་གཉན་གཟིགས།	达日宁色
ཤར་ལི་ཨེཕ་དོ།	查理周刊
མཚོ་ཁྱི།	海狗
ཞི་པོ་མི།	锡伯族
ཧྲན་ཧའེ་ཀོན།	山海关
ཅི་ནུའོ་མི།	基诺族
འཁོར་ལོ་སྡོམ་པ།	勝樂金剛
བོད་པའི་དགོན་སྡེའི་ཐོ།	藏传佛教寺庙列表
ཨའི་ཧ་ནེ་ད།	羽田愛
དེ་བཞིན་གཤེགས་པ།	如来
ཀྲོའུ་ཝུའུ་ཝང་།	周武王
ལུའུ་ཀྲི་ཧྲེན།	鲁智深
ཨ་ཀོའོ་འར་སྐད་ཡིག་སློབ་གྲྭ།	阿高尔语言学校
ཐཱན༦༠	巴克明斯特富勒烯
ཧན་ཧྥེ་ཙི།	韩非子
ཆགས་སྦྱོར་དང་ཁྲིམས།	性犯罪
རྒྱལ་མོ་རྔུལ་ཆུ	大渡河
ཇོ་མོ་ལྷ་རི།	卓木拉日峰
ཝ་ཡང་ཟློས་གར་ཁང་།	哇揚皮影偶戲
ཞོན་ཙང་། (ནུབ་ཕྱོགས་སུ་བསྐྱོད་པའི་རྣམ་ཐར།)	唐三藏
ཆོས་འཁོར་གླིང་དགོན།	琼果杰寺
ཁི་ནོ་ཏོ་མོ་ནོ་རི།	紀友則
གཉན་ཆེན་ཐང་ལྷ།	念青唐古拉峰
ང་ཚོས་དེར་གཡོལ་གི་ཡོད་པ་རེད།	我们只是逃避
མཚོ་སམད་རྫོང་།	措美县
མཚོ་སྣ་རྫོང་།	错那县
ཚལ་ཐོ།	蔬菜列表
མཁའ་འགྲོ།	荼吉尼
མཚོ་ཆེན་རྫོང་།	措勤县
ཨོ་པེད། (གསུང་རབ།)	俄备得
ཀུ་ཤ། (གསུང་རབ།)	古实人
ལིན་ཁྲུང་།	林冲
རྩམ་པ།	糌粑
སྒྲ་མཚོན་ཡི་གེ།	表音文字
ཀྲུའུ་པའ་ཅེད།	猪八戒
ལོ་བདུན་རིང་གི་བོད།	西藏七年 (书籍)
ནཱ་ཧོར།	拿鹤
སེ་རུག	西鹿
སྒྲ་སྙུང་ཆས།	消音器
ཆུ་འབྲུམ།	油莎草
དགེ་བཤེས།	格西
ཏུའེ་ལེན​།	对联
ཐབ་སི་ཐུང་།	谭嗣同
ཡུའེ་དབྱང་ཐོག་ཁང་།	岳阳楼
ཆོས་པ་ཝེལ་ཁི་ཧྥེལ་རྡིའི་རྟོགས་བརྗོད།	威克菲德的牧師
ཧྲའ་ཝུའུ་ཅིང་།	沙僧
རོང་བྲག།	丹巴县
འོད་ཟེར་	唯色
སྐྱིད་གྲོང་རྫོང་།	吉隆县
ཧའེ་ཡན་	海晏县
སྡེ་དགེ	德格县
ལྷ་རྩེ་རྫོང་།	拉孜县
ནང་ཆེན།	囊谦县
གཞིས་ཀ་རྩེ་ས་ཁུལ།	日喀则市
མོ་ནད་ཚན་ཁག་གི་མཁས་པ།	婦科學
གདིང་སྐྱེས་རྫོང་།	定结县
མར་མེ་མཛད།	燃灯佛
བོད་ཀྱི་རྩོམ་རིག	藏族文学
རུའེ།	拉 (埃及神祇)
གཡེར་པ་དགོན།	扎叶巴寺
འབྲི་གུང་དགོན།	直贡梯寺
རྫོང་ཆེན་དགོན།	佐钦寺
སྡེ་རོང་།	得荣县
ཝང་པོ།	王勃
གོང་དཀར་རྫོང་།	贡嘎县
མོག་དཀར།	銀耳
ཧིང་ཧྲན་རི་བོ།	恒山
ཁྲུར་སི་ཐན་དང་ཨེ་སོལ་རྡེ། (ཝ་རྒི་ནར།)	特里斯坦与伊索尔德
པའི་ལེན་དབང་	白兰王
བོད་ཀྱི་ལོ་གསར།	藏历新年
རྡོ་རྗེ་འཇིགས་བྱེད།	大威德金剛
གཅན་ཚ།	尖扎县
རྒྱ་ཚ་རྫོང་།	加查县
ལྷོ་བྲག་རྫོང་།	洛扎县
ས་སྐྱ་རྫོང་།	萨迦县
འཕྱོངས་རྒྱས་རྫོང་།	琼结县
གཙོས་གྲོང་ཁྱིར།	合作市
དགེ་རྒྱས་རྫོང་།	革吉县
སྣེ་གདོང་རྫོང་།	乃东县
ཐུང་རེན་	同仁县
དཔྱིད་ཚུགས།	立春
ཁྱུང་མཆུ་	红原县
སྣང་རྫོང་།	朗县
ཆར་འབབ།	雨水
ཟངས་རི་རྫོང་།	桑日县
བཞད་མཐོང་སྨོན་རྫོང་།	谢通门县
ཐེ་བོ།	迭部县
ཨ་བྲ་མཆུ་ནག	高原鼠兔
ཕྱག་ན་རྡོ་རྗེ།	金剛手菩薩
ཀ་ཀོ་ལ།	香豆蔻
ཁྲི་སྙན་ས་ལེ།	斑羚属
ཐིག་ལེ་འཐེན་པ།	授精
རྡོ་རྗེ་རྣལ་འབྱོར་པ།	金剛亥母
སློབ་དཔོན་ཐུ་མི་སམ་བྷོ་ཊ།	吞弥·桑布扎
ཧ་ཇི་མེ་ཏ་ན་ཕེ།	田邊元
ལྷ་བསང་ཏུ།	密集金刚
ཧྥ་རན།	法郎
Category:འཇར་མན།	Category:德国
Category:ཨི་ཏ་ལི།	Category:意大利
Category:ཨ་མེ་རི་ཁ་རྒྱལ་ཕྲན་མཉམ་འབྲེལ་རྒྱལ་ཁབ།	Category:美国
Category:ཨུ་རུ་སུ།	Category:俄罗斯
Category:ཁ་ན་ཌ།	Category:加拿大
Category:དབྱིན་ཇི་མཉམ་འབྲེལ།	Category:英国
Category:ཞི་པན་ཡ།	Category:西班牙
Category:རྒྱ་ནག	Category:中国
Category:རི་པིན།	Category:日本
Category:ཨོ་སེ་ཐེ་ལི་ཡ།	Category:澳大利亚
Category:མེག་སི་ཀོ།	Category:墨西哥
Category:རྒྱ་གར།	Category:印度
Category:སའུ་དི་ཨ་ར་པི་ཡ།	Category:沙烏地阿拉伯
Category:ཨི་སི་ར་ཨེལ།	Category:以色列
Category:ཝ་ཏི་ཀན།	Category:梵蒂冈
Category:ལྷོ་ཨ་ཧྥེ་རི་ཁ།	Category:南非
Category:ཨའི་ཅི།	Category:埃及
Category:ཡི་ལང་།	Category:伊朗
Category:ནིའུ་ཛི་ལེན་ཌི།	Category:新西兰
Category:ཨར་ཇེན་ཊི་ན།	Category:阿根廷
དཔལ་ལྡན་ལྷ་མོ།	吉祥天母
དངོས་ཚན།	本科教育
བསམ་ཡས་དགོན།	桑耶寺
Category:ཨ་ཧྥུའུ་རྒན་སི་ཐན།	Category:阿富汗
Category:ཨཱལ་ཇི་རི་ཡ།	Category:阿爾及利亞
Category:ཨ་སུ་ཊ་རི་ཡ།	Category:奧地利
Category:བྷང་ལ་རྡེ་ཤུ།	Category:孟加拉国
Category:ཀོང་གོ་མི་དམངས་དམངས་གཙོ།	Category:剛果民主共和國
Category:ཨི་ཐི་ཨོ་པི་ཡ།	Category:衣索比亞
Category:ཨིན་རྡུ་ནི་ཤིས་ཡ།	Category:印尼
Category:ཧོ་ལན།	Category:荷兰
Category:ནི་ཇི་རི་ཡ།	Category:奈及利亞
Category:པ་ཀི་སི་སྟན།	Category:巴基斯坦
Category:ཕོ་ལན།	Category:波蘭
Category:པོ་ཅུ་གྷལ།	Category:葡萄牙
Category:ལྷོ་ཀོ་རི་ཡ།	Category:大韓民國
Category:སུད་སི།	Category:瑞士
Category:ཏན་ཛ་ནི་ཡ།	Category:坦尚尼亞
Category:ཐའེ་གོ	Category:泰國
Category:ཨུཀ་རཡི་ནི།	Category:烏克蘭
Category:ཝི་ཏི་ནམ།	Category:越南
Category:འུ་འཐུང་སྲོག་ཆགས།	Category:哺乳類
Category:བྱ།	Category:鸟类
Category:དངོས་ཁམས་རིག་པ།	Category:物理学
Category:རང་བྱུང་གི་ཚན་རིག	Category:自然科学
Category:སྐྱེས་དངོས་རིག་པ།	Category:生物学
Category:རྫས་འགྱུར་རིག་པ།	Category:化学
Category:ལོ་རྒྱུས།	Category:历史
Category:ས་ཁམས།	Category:地理
Category:ཆོས་ལུགས།	Category:宗教
Category:ལུས་རྩལ་སྐོར།	Category:体育
Category:ཚན་རིག	Category:科学
Category:མཉམ་འབྲེལ་རྒྱལ་ཚོགས།	Category:联合国
Category:གློག་བརྙན།	Category:电影
Category:སྤེལ་རེས།	Category:通信
Category:སའི་གོ་ལ།	Category:地球
ཤིང་ཉ།	木鱼
རྟ་མགྲིན།	馬頭明王
སྣར་ཐང་དགོན།	纳塘寺
དགེ་འདུན་ཆོས་འཕེལ།	更敦群培
སའི་ཧོ་ཇི།	西芳寺
ཨལ་ཕཱ།	亞勒腓
ཞེ་ཆེན་དགོན།	雪謙寺
དགོན་ལུང་དགོན།	佑宁寺
བོད་ཀྱི་རོལ་དབྱངས།	藏族音乐
ས་སྐྱ་དགོན།	萨迦寺
སྨོན་གྲོལ་གླིང་དགོན།	敏珠林寺
ཁྲུང་ཆིང་གྲོང་ཁྱེར།	中國省份
རྒྱ་ཨར།	阿塞图纳
ཀིརྟི་དགོན་	格尔登寺
བོད་ཀྱི་ཡུལ་གྲུ་སོ་སོའི་སྐད།	藏語
ཕེ་ལེག	法勒
ཏ་ཟིག་གི་མི།	伊朗人
ཇོ་ནང་པ།	觉囊派
ཤོ།	西藏雙六
བསོད་ནམས་དཔལ་འཛོམས།	芫荽属
རྫ་བྲ།	川西鼠兔
སལ་མོན།	撒门
ནབ་ཏ་ལིྰ།	拿弗他利
སི་མེ་ཡོན། (གསུང་རབ།)	西缅
གནས་ཆུང་དགོན།	乃琼寺
ལུང་སྟོན་མ་ཨན་ནཱ།	女先知亚拿
ཨ་ཤེར།	亚设
ཧྲི་ནའེ་ཨེན།	施耐庵
ནཱ་སོན།	拿顺
དཔལ་ཆོས་དགོན།	白居寺
སྐུ་འབུམ་དགོན།	塔尔寺
ཧོ་ཐོག་ཐུ་	呼圖克圖
རའོ་ནི་མེ་ཏུག་ཏི་རེ།	郝倪
བླ་བྲང་དགོན།	拉卜楞寺
ཀེའུ་ཙོང་།	韭葱
པེ་རེ་ཟི།	法勒斯
རམ། (གསུང་རབ།)	亚兰
ཆོས་ལུགས་བར་གྱི་དམག་འཁྲུག	宗教战争
མ་བཅུག་པར་ཆགས་སྦྱོར་བྱེད་ཚུལ།	非插入式性行為
ར་མོ་ཆེ།	小昭寺
ཆུ་སྲིན།	鯨
གྲོང་ཁྱེར་ཆེན་པོར།	城市群
སད་ན་ལེགས།	赤德松贊
བཀྲ་ཤིས་རྟགས་བརྒྱད།	佛门八宝
དམན་རི་དགོན།	梅日寺
༄༅། ཞོ་སྟོན།	雪顿节
སྨོན་ལམ་ཆེན་མོ།	默朗木祈愿大法会
Category:མཚན་ཉིད་རིག་པ།	Category:哲学
Category:སེམས་ཁམས་རིག་པ།	Category:心理学
Category:ནང་པ་སངས་རྒྱས་ཆོས་ལུགས།	Category:佛教
Category:ཡེ་ཤུའི་ཆོས་ལུགས།	Category:基督教
Category:ཧིན་ཏུའི་ཆོས་ལུགས།	Category:印度教
Category:དབྱི་སི་ལམ་ཆོས་ལུགས།	Category:伊斯兰教
རྒྱལ་རྩེ།	江孜镇
རེའུ།	拉吴
དཔལ་སྤུངས་དགོན།	八邦寺
བོད་ཡིག་གི་ཝེ་ཁེ་རིག་མཛོད།	Wikipedia:藏語維基百科
བྱ་རྒོད།	鵰
རྒྱ་གླིང་།	唢呐
སི་པི་རིང་ཧྥིལ་ཌི། (ཧྥོ་ལོ་རི་ཌ།)	斯普林菲尔德 (佛罗里达州)
སྨྱུག་རྩ།	筍
ཡིག་སྐྱེལ་བ།	郵遞員
ཁྲི་ལྡེ་གཙུག་བརྟན།	赤德祖赞
གནམ་རི་སྲོང་བཙན།	囊日論贊
རྡོ་རྗེ་ཆང་།	執金剛神
ཁྲི་རལ་པ་ཅན།	赤祖德贊
མཚོ་རྫོང་དགོན།	措宗寺
མུ་ནེ་བཙན་པོ།	穆尼贊普
ཐུའུ་བཀྭན་བློ་བཟང་ཆོས་ཀྱི་ཉི་མ།	土观·洛桑却吉尼玛
ཏིན་ཏིན་བོད་ལ་ཕྱིན་པ།	丁丁在西藏
སྟར་ཤིང་།	胡桃
ཁྲི་གཉན་གཟུངས་བཙན།	赤聂松赞
གཡང་ཆེན་ལྷ་མོ།	央金拉姆 (拉薩)
ཐོའུ་ཅ།	土家语
མང་སྲོང་མང་བཙན།	芒松芒赞
ཤིན་གོ་ཨ་ར་ཁི།	荒木伸吾
འདུས་སྲོང་མང་པོ་རྗེ།	赤都松赞
ཁྲེན་རུང་།	陈容 (南宋画家)
གོ་སྙོད་ཟུར་བརྒྱད།	八角
Category:ཆ་མི་ཚང་བ	Category:小作品
Category:ལྦེ་ཁེ་རིག་མཛོད།	Category:維基百科管理
Category:རིག་གནས།	Category:文化
བོད་རང་སྐྱོང་ལྗོངས་ཀྱི་སྲིད་འཛིན་ས་ཁོངས་ཀྱི་ཐོ།	西藏自治区行政区划
ཝུ་སུང་།	武松
ཝུ་ཝེའེ།	吴伟
མེའི་ཇིའི་དུས་དུས་མཚམས།	明治
སྲན་དམར།	紅豆 (消歧義)
ཕྲེང་བ།	念珠
ས་ཡ་མི་ས་ཁི།	美咲沙耶
ཡར་ཀླུངས་གཙང་པོ་	雅鲁藏布江
སྨུག་པོའི།	紫色
Template:User uk-2	Template:User uk-2
སྟོན་པ།	闡陀
ཁབ་ལེན་	磁
སླི་ཁེ་རི་ནི་ཞི་ཡ།	密克罗尼西亚群岛
ནཱ་ཐན་ནི་དཱ་བིད་ཅེས་བྱ་བའི་བུ།	拿单 (大卫之子)
ཞོགས་དུང་།	扎加
Category:ཕའི་ཆིའུ་སྤོ་ལོ།	Category:排球
ཝང་ཤིའི་ཧྥུང་།	王熙鳳
ཉུང་མ།	芜菁
Category:འཁྲབ་སྟོན་པ།	Category:演员
Template:Tl	Template:Tl
Category:ཁྲིམས་ལུགས།	Category:法学
Category:རྒྱལ་ཁབ།	Category:国家
Category:དཔལ་འབྱོར་རིག་པ།	Category:经济学
Wikipedia:Administrators	Wikipedia:管理员
Category:ཀཛ་ཀིསུ་གཏན།	Category:哈萨克斯坦
Wikipedia:བཀོད་འདོམས་པར་རེ་ཞུ	Wikipedia:申请成为管理人员
Category:ལས་རིགས།	Category:職業
Category:དུས་ཚོད།	Category:时间
Category:དངུལ་ལོར།	Category:货币
Category:རྩི་ཤིང་རིག་པ།	Category:植物學
Category:གཤག་བཅོས་རིག་པ།	Category:解剖学
Category:སྨན།	Category:医学
Category:ཆབ་སྲིད།	Category:政治
Category:སློབ་གསོ།	Category:教育
Category:སྒྱུ་རྩལ།	Category:艺术
ཨའི་ཅི།	埃及
ཧེ་ཟི་རོན།	希斯仑
Category:མཚན་ཉིད་རིག་པ་བ།	Category:哲学家
Template:Bot	Template:Bot
ཁ་ན་ཌ།	加拿大
Category:ཧུང་གྷ་རི།	Category:匈牙利
Category:པེར་ཅིན།	Category:比利時
Category:སེ་པི་རི་སི།	Category:賽普勒斯
Category:ཅེཀ་སྤྱི་མཐུན་རྒྱལ་ཁབ།	Category:捷克
Category:དན་མྲག	Category:丹麥
Category:ཨིསུ་ཊོ་ནིཡ།	Category:爱沙尼亚
Category:ཀེ་རི་སི།	Category:希腊
Category:ལ་ཊ་ཝིཡ།	Category:拉脫維亞
Category:ཨཡིསུ་ལེན་ཌ།	Category:冰島
Category:ལུ་སེམ་བའུརག (རྒྱལ་ཁབ།)	Category:卢森堡
Category:ལི་ཐུ་ཨེ་ནི་ཡ།	Category:立陶宛
Category:མལ་ཏ།	Category:馬爾他
Category:སི་ཝེ་དེན	Category:瑞典
Category:སི་ལོ་ཕ་ཁེ།	Category:斯洛伐克
Category:སི་ལོ་ཝེ་ནི་ཡ།	Category:斯洛維尼亞
Category:ཨར་ལེན་ཌ།	Category:爱尔兰
Wikipedia:Copyrights	Wikipedia:版权信息
Wikipedia:ཡི་སྐོར།	Wikipedia:关于
Category:རོལ་རྩེད།	Category:游戏
Template:Flagicon	Template:Flagicon
Category:ཡོ་རོབ་གླིང་གི་རྒྱལ་ཁབ།	Category:欧洲国家
Category:ཡོ་རོབ་གླིང་།	Category:欧洲
Template:Documentation	Template:Documentation
Category:ལྦེ་ཁེ་བ།	Category:维基人
འབྲོང་གཉན་ལྡེ་རུ།	仲宁德乌
ཚོང་ལས།	企业
Template:Softredirect	Template:軟重定向
Template:གསུབ་པ	Template:Delete
ཉེན་རྟོགས་པ་ཞི་མི་ནག་པོ།	黑猫警长
Category:སྐད་རིགས།	Category:语言
Category:བརྡ་སྤྲོད་ཀྱི་གཞུང་།	Category:语法
Category:ལོ་ཐོ།	Category:曆法
Wikipedia:General disclaimer	Wikipedia:免责声明
ཁོར་ཡུག་འཛུགས་སྐྲུན།	建成环境
Category:Pages with broken file links	Category:缺少文件的页面
Wikipedia:སྒྲོམ་གཞི།	Wikipedia:模板消息
དམག་མི།	士兵
Template:Navbox	Template:Navbox
ཁུག་བྱི།	袋鼠
དྲང་པོ།	公平正義
དད་པ།	信仰
Template:Clear	Template:Clear
Template:Col-break	Template:Col-break
Template:Col-begin	Template:Col-begin
Template:Col-end	Template:Col-end
Template:Nowrap	Template:Nowrap
རྩི་ཤིང་རིགས་ཤིག	歐洲越橘
